,IDLattes,DuracaoDoutorado,Genero,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,HistoricoFiliacoesEmIESInternacional,UltimaFiliacaoEmIES,PrimeiraAreaNumeric
0,1000020883210065,6.0,0,1,9.0,14.0,0,0,0
1,1000077717733917,5.0,0,0,2.0,5.0,1,1,1
2,1000138998094231,4.0,0,1,1.0,7.0,0,0,1
3,1000171750564368,5.0,0,1,7.0,13.0,1,0,1
4,1000193621667374,5.0,1,1,5.0,5.0,1,1,2
5,1000271786343378,5.0,0,0,3.0,9.0,1,0,3
6,1000297113793647,3.0,0,1,53.0,17.0,1,0,0
7,1000308383977498,4.0,1,1,5.0,5.0,0,1,1
8,1000339043725050,1.0,1,0,83.0,31.0,0,0,4
9,1000365345909355,4.0,1,0,4.0,5.0,0,0,4
10,1000373295613338,4.0,0,0,11.0,8.0,1,0,5
11,1000374806306312,2.0,1,1,7.0,3.0,0,1,6
12,1000470187493006,3.0,0,0,3.0,11.0,1,0,3
13,1000498199258062,3.0,0,1,41.0,4.0,1,1,2
14,1000506759150876,2.0,1,0,1.0,2.0,1,0,6
15,1000528740958810,4.0,0,0,22.0,19.0,1,1,3
16,1000535673605322,4.0,0,1,49.0,18.0,0,0,0
17,1000566631151230,4.0,1,1,3.0,6.0,1,1,0
18,1000571813063485,2.0,1,0,76.0,17.0,1,0,6
19,1000573994548737,3.0,0,1,6.0,20.0,0,0,1
20,1000584916178581,5.0,1,1,3.0,8.0,0,0,6
21,1000622852662099,4.0,0,1,92.0,31.0,1,0,2
22,1000681368407969,2.0,0,1,6.0,2.0,1,0,4
23,1000688763895346,2.0,0,0,98.0,31.0,1,1,0
24,1000717123605254,4.0,1,1,20.0,17.0,1,0,7
25,1000789943896082,3.0,1,1,4.0,7.0,0,1,7
26,1000799938164430,5.0,1,1,1.0,5.0,1,1,7
27,1000805043084706,3.0,0,0,5.0,4.0,0,0,3
28,1000812505688631,4.0,0,1,4.0,7.0,1,0,5
29,1000821915389311,4.0,1,0,8.0,12.0,0,1,6
30,1000840562015756,1.0,1,0,6.0,5.0,1,1,0
31,1000854112796927,4.0,0,1,14.0,11.0,0,1,2
32,1000881096362848,3.0,1,0,2.0,5.0,0,0,4
33,1000896512375593,4.0,0,1,17.0,8.0,0,1,3
34,1000908769503503,4.0,0,1,3.0,6.0,0,0,1
35,1000951601456635,3.0,1,1,2.0,12.0,0,1,7
36,1000980298010349,1.0,1,0,150.0,47.0,1,0,4
37,1001013721652027,5.0,1,1,5.0,13.0,1,0,5
38,1001018908057794,6.0,1,1,8.0,10.0,0,1,0
39,1001040940232846,4.0,1,1,23.0,8.0,0,1,2
40,1001053972934664,3.0,0,1,2.0,7.0,1,1,3
41,1001081588116334,4.0,1,1,39.0,12.0,1,1,2
42,1001082305933555,4.0,0,1,3.0,9.0,1,0,7
43,1001123283546693,5.0,0,0,2.0,7.0,0,0,1
44,1001172700194924,3.0,0,1,52.0,25.0,0,0,6
45,1001175355190242,6.0,0,0,22.0,24.0,0,0,6
46,1001216946571696,3.0,1,1,3.0,4.0,0,0,4
47,1001246298509023,4.0,0,1,7.0,4.0,0,0,1
48,1001254406785009,4.0,0,1,4.0,4.0,1,0,0
49,1001273895845698,3.0,0,1,32.0,7.0,0,0,1
50,1001328062970250,4.0,0,1,3.0,9.0,1,0,6
51,1001333523593343,4.0,1,0,3.0,3.0,0,0,5
52,1001379008524310,3.0,1,0,2.0,3.0,1,1,5
53,1001391097647824,4.0,1,1,16.0,9.0,1,0,6
54,1001435629686445,4.0,1,1,1.0,4.0,1,0,2
55,1001437630892785,6.0,0,0,2.0,2.0,1,0,1
56,1001445157177360,4.0,1,1,13.0,19.0,0,0,6
57,1001466317648964,4.0,1,0,15.0,7.0,0,0,0
58,1001500969293728,4.0,0,1,29.0,9.0,0,1,4
59,1001595952279605,4.0,0,1,8.0,4.0,1,0,0
60,1001596613460493,5.0,0,1,16.0,29.0,1,1,2
61,1001622880604244,4.0,0,1,21.0,19.0,0,0,3
62,1001627417428829,3.0,1,0,25.0,3.0,0,0,4
63,1001731339714424,5.0,0,1,11.0,9.0,0,0,5
64,1001749166794731,4.0,0,1,1.0,4.0,0,0,3
65,1001771838942690,6.0,1,0,8.0,9.0,0,1,5
66,1001831239174417,6.0,0,0,1.0,8.0,0,0,1
67,1001835044596136,4.0,0,1,2.0,9.0,0,0,4
68,1001869619673472,4.0,1,0,9.0,4.0,1,1,4
69,1001886666997313,4.0,1,1,17.0,16.0,0,0,0
70,1001910426372055,5.0,0,0,1.0,11.0,0,1,3
71,1002027352736468,2.0,0,1,74.0,9.0,1,1,4
72,1002035563058958,2.0,1,0,6.0,8.0,0,1,6
73,1002051080021831,3.0,0,0,29.0,11.0,1,0,3
74,1002065762036686,4.0,1,0,19.0,6.0,0,0,4
75,1002129951984360,4.0,0,1,26.0,6.0,1,1,2
76,1002191640217585,4.0,1,0,164.0,26.0,0,1,4
77,1002193677066082,5.0,1,1,13.0,16.0,1,0,5
78,1002230820162670,3.0,1,1,98.0,17.0,1,0,0
79,1002369240861433,4.5,0,1,4.0,8.0,1,0,1
80,1002382959546675,4.0,0,1,1.0,4.0,0,1,5
81,1002397530105523,4.0,0,0,6.0,6.0,0,1,3
82,1002412277267409,2.0,0,1,18.0,21.0,0,0,1
83,1002426943626438,6.0,0,1,20.0,20.0,1,1,1
84,1002485404161345,4.0,1,0,38.0,30.0,0,0,4
85,1002535093147868,2.0,0,1,14.0,5.0,1,1,5
86,1002574076377847,4.0,1,0,3.0,5.0,0,1,6
87,1002685286544759,4.0,0,1,10.0,4.0,1,1,6
88,1002752521636149,4.0,0,1,5.0,22.0,0,1,4
89,1002816189058375,5.0,1,0,10.0,7.0,0,1,1
90,1002879852439741,4.0,1,0,1.0,4.0,0,1,6
91,1002923033043026,2.0,0,1,10.0,19.0,0,1,4
92,1002938552800845,5.0,1,0,34.0,11.0,0,1,6
93,1002950767275065,4.0,0,1,1.0,3.0,0,1,2
94,1002967154950092,5.0,0,1,10.0,20.0,1,1,6
95,1002997745151812,4.0,1,1,23.0,10.0,1,0,0
96,1003009898182441,4.0,1,1,13.0,11.0,0,0,6
97,1003011436001008,6.0,1,1,17.0,19.0,1,1,6
98,1003037867498422,2.0,0,1,10.0,4.0,0,1,6
99,1003039770050759,4.0,1,1,29.0,18.0,1,0,0
100,1003078868842388,5.0,1,0,28.0,36.0,1,0,7
101,1003113270907697,6.0,1,1,1.0,6.0,0,0,2
102,1003166206612721,5.0,0,0,5.0,11.0,1,0,6
103,1003180776198072,4.0,1,1,2.0,2.0,0,1,5
104,1003184503012396,3.0,0,0,10.0,19.0,1,1,5
105,1003189884392105,4.0,1,0,1.0,4.0,0,0,6
106,1003192087990566,3.0,0,0,1.0,3.0,0,0,2
107,1003201485208002,4.0,0,1,20.0,15.0,1,0,6
108,1003206763408457,4.0,1,1,17.0,11.0,1,0,2
109,1003208976074900,4.0,1,0,4.0,5.0,0,0,5
110,1003211871657833,3.0,0,0,72.0,14.0,0,1,4
111,1003216752869923,4.0,1,1,6.0,14.0,0,1,6
112,1003268124870433,3.0,0,0,14.0,2.0,1,0,7
113,1003322236665100,4.0,0,0,2.0,17.0,0,0,5
114,1003345919720989,4.0,0,1,1.0,4.0,0,1,2
115,1003357077922587,4.0,1,1,18.0,16.0,0,1,3
116,1003388291863684,5.0,1,1,14.0,17.0,0,0,6
117,1003429202093216,4.0,1,1,17.0,10.0,0,0,1
