,IDLattes,DuracaoDoutorado,Genero,GrandesAreas,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,ListaFiliacoes,UltimaFiliacao,HistoricoFiliacoesEmIESInternacional,UltimaFiliacaoEmIES
0,39015885890,4.0, , , ,9.0,9.0,UNIVERSIDADE FEDERAL ABC; INSTITUTO FISICA USP SAO CARLOS; INSTITUTO PESQUISAS ENERGETICAS NUCLEARES; IEEE PHOTONICS JOURNAL; APPLIED OPTICS; INSTITUTO ASTRONOMIA GEOFISICA CIENCIAS ATMOSFERICAS UNIVERSIDADE,INSTITUTO ASTRONOMIA GEOFISICA CIENCIAS ATMOSFERICAS UNIVERSIDADE,0,0
1,104116232000,4.0, , , ,8.0,5.0,UNIVERSIDADE ESTADUAL MARINGA; INDUSTRIAL AMP ENGINEERING CHEMISTRY RESEARCH; UNIVERSIDADE TECNOLOGICA FEDERAL PARANA; CLEAN WEINHEIM INTERNET,CLEAN WEINHEIM INTERNET,0,0
2,111305956227,4.0, , , ,17.0,15.0,PADETEC PARQUE DESENVOLVIMENTO TECNOLOGICO SC; FACULDADE FILOSOFIA CIENCIAS CETRAS RIBERAO PRETO; VEGETEX MERCK; PARQUE DESENVOLVIMENTO TECNOLOGICO; UNIVERSIDADE FEDERAL CEARA; REDE INCUBADORAS EMPRESAS CEARA; INSTITUTO FEDERAL CEARA; ASSOCIACAO NACIONAL ENTIDADES PROMOTORAS TECNOLOGIAS AVANCADAS; REVISTA ABPI; ASSOCIACAO ACADEMICA PROPRIEDADE INTELECTUAL; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; NUCLEO ESTUDOS PESQUISAS NORTE NORDESTE; CADERNOS PROSPECCAO; CIENCIA TECNOLOGIA DOS MATERIAIS; LIVROS PROFNIT,REVISTA ABPI; ASSOCIACAO ACADEMICA PROPRIEDADE INTELECTUAL; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; LIVROS PROFNIT,1,0
3,174385402367,4.0, , , ,5.0,6.0,UNIVERSIDADE ESTADUAL PAULISTA JULIO MESQUITA FILHO; UNIVERSIDADE FEDERAL SAO CARLOS; INSTITUTO FEDERAL SAO PAULO; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; CHEMICAL ENGINEERING RESEARCH AMP DESIGN,CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; CHEMICAL ENGINEERING RESEARCH AMP DESIGN,0,0
4,183606503103,4.0, , , ,4.0,5.0,UNIVERSIDADE FEDERAL GOIAS; UNIVERSIDADE FEDERAL RIO JANEIRO; INSTITUT NATIONAL LA SANTE ET LA RECHERCHE MEDICALE; SINDICATO DOS FARMACEUTICOS ESTADO GOIAS; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; INDIAN JOURNAL OF PHARMACEUTICAL SCIENCES,INDIAN JOURNAL OF PHARMACEUTICAL SCIENCES,0,0
5,221437884487,9.0, , , ,26.0,22.0,FACULDADE FORMACAO PROFESSORESUERJ; UNIVERSIDADE CANDIDO MENDES,UNIVERSIDADE CANDIDO MENDES,0,1
6,230621439945,5.0, , , ,3.0,7.0,HOSPITAL DAS CLINICAS FACULDADE MEDICINA USP; FUNDACAO FACULDADE REGIONAL MEDICINA SAO JOSE RIO PRETO; INSTITUTO CORACAO DISTRITO FEDERAL FUNDACAO ZERBINI; CENTRO UNIVERSITARIO BRASILIA; UNIVERSITAS CIENCIAS SAUDE UNICEUB IMPRESSO; UNIVERSIDADE BRASILIA; REVISTA BRASILEIRA ENFERMAGEM,REVISTA BRASILEIRA ENFERMAGEM,0,0
7,238107073973,4.0, , , ,4.0,3.0,PETROBRAS; PETROLEO BRASILEIRO SA; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; UNIVERSIDADE ESTADUAL NORTE FLUMINENSE DARCY RIBEIRO; ESCOLA SANTO ANTONIO; CENTRO EDUCACIONAL FELICIANO AZEVEDO; SISTEMA EDUCACIONAL UNICO; INSTITUTO DOM BOSCO; CASA CULTURA VILLA MARIA UENF,PETROLEO BRASILEIRO SA; INSTITUTO DOM BOSCO,1,1
8,254371229748,4.0, , , ,14.0,14.0,UNIVERSIDADE FEDERAL MINAS GERAIS; UNIVERSIDADE FEDERAL DOS VALES JEQUITINHONHA MUCURI CAMPUS JK,UNIVERSIDADE FEDERAL DOS VALES JEQUITINHONHA MUCURI CAMPUS JK,0,1
9,263417677108,5.0, , , ,10.0,6.0,FUNDACAO CENTRO PESQUISA DESENVOLVIMENTO EM TELECOMUNICACOES; UNIVERSIDADE FEDERAL ESPIRITO SANTO; MITSUBISHI ELECTRIC RESEARCH LABS; MAXIM INTEGRATED; JUNIPER NETWORKS; STANFORD UNIVERSITY; AEVA INC,AEVA INC,1,1
10,325690951570,5.0, , , ,79.0,41.0,UNIVERSIDADE FEDERAL RIO JANEIRO; UFRJ INSTITUTO LUIZ ALBERTO COIMBRA POS GRADUACAO PESQUISA ENGENHAR; EARTH SURFACE PROCESSES AND LANDFORMS; ZEITSCHRIFT FUR GEOMORPHOLOGIE; GEOGRAFIA FISICA DINAMICA QUATERNARIA; CATENA; REVISTA BRASILEIRA GEOMORFOLOGIA; GEOMORPHOLOGY AMSTRERDAM; GEOCIENCIAS SAO PAULO 0101 9082; SOILS AMP ROCKS; INSTITUTO GEOCIENCIAS UFRJ; FUNDACAO CARLOS CHAGAS FILHO AMPARO A PESQUISA ESTADO RJ; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; COORDENACAO APERFEICOAMENTO PESSOAL NIVEL SUPERIOR; FUNDACAO AMPARO A CIENCIA TECNOLOGIA ESTADO PERNAMBUCO; FUNDACAO AMPARO A PESQUISA ESTADO SAO PAULO; PROGRAMA INSTITUCIONAL BOLSAS INICIACAO CIENTIFICA; GEOHECOLABORATORIO GEO HIDROECOLOGIA GESTAO RISCOS,GEOHECOLABORATORIO GEO HIDROECOLOGIA GESTAO RISCOS,1,0
11,356621266685,4.0, , , ,4.0,4.0,BRASIL TELECOM SA; UNIVERSIDADE FEDERAL RIO GRANDE SUL; FACULDADE CENECISTA OSORIO; CENTRO UNIVERSITARIO METODISTA IPA; RECADM REVISTA ELETRONICA CIENCIA ADMINISTRATIVA; SEC EST DESENV DOS ASS INTERNACIONAIS; SECRETARIA FAZENDA RIO GRANDE SUL; GESTAO AMPAMP PLANEJAMENTO SALVADOR; BAR BRAZILIAN ADMINISTRATION REVIEW; INSTITUTO FEDERAL SUL RIO GRANDENSE,INSTITUTO FEDERAL SUL RIO GRANDENSE,0,1
12,365646569985,4.0, , , ,2.0,3.0,ROTARY INTERNACIONAL; ASSOCIACAO CULTURAL EDUCACIONAL FRANCA; UNIAO DOS EXPORTADORES FRANGO SA; FUNDACAO PARQUE ZOOLOGICO SAO PAULO; CLINICA MORUMBI; INSTITUTO BIOLOGICO SAO PAULO; LABORATORIO OSWALDO CRUZ ANALISES CLINICAS; ZOOLOGICO SOROCABA; ARBOR ACRES AVICULTURA; PROJETO RONDON; CLINICA VETERINARIA DR FERNANDO CESAR PATTITTUCCI; UNIVERSIDADE FRANCA; CLINICA VETERINARIA DR OKAMURA; ESCRITORIO RURALTINS; FORUM ARAGUACU; CASA PECUARIA; PRODUTOS LATICINIOS LTDA; APOIO; INSTITUTO BIOLOGICO; SUPERINTENDENCIA ESTADUAL MEIO AMBIENTE GOIAS,ASSOCIACAO CULTURAL EDUCACIONAL FRANCA,1,0
13,388759864860,4.0, , , ,8.0,7.0,UNIVERSIDADE ESTADUAL SANTA CRUZ; INSTITUTO NACIONAL PESQUISAS ESPACIAIS; INSTITUTO TECNOLOGICO AERONAUTICA; CENTRO UNIVERSITARIO AMPARENSE; SENAI DEPARTAMENTO REGIONAL BAHIA,SENAI DEPARTAMENTO REGIONAL BAHIA,0,0
14,397218106359,4.0, , , ,9.0,5.0,MK INFORMATICA; INSTITUTO PATRIMONIO HISTORICO ARTISTICO NACIONAL RN; UNIVERSIDADE FEDERAL RIO GRANDE NORTE; PROGRAMA NACIONAL OLIMPIADAS QUIMICA,UNIVERSIDADE FEDERAL RIO GRANDE NORTE,1,1
15,401391967130,6.0, , , ,1.0,6.0,UNIVERSIDADE NACIONAL EXPERIMENTAL GUAYANA,,0,0
16,415998871219,3.0, , , ,29.0,15.0,FUNDACAO AMPARO A PESQUISA ESTADO AMAZONAS; UNIVERSIDADE FEDERAL AMAZONAS; REVISTA BRASILEIRA CIENCIA SOLO IMPRESSO; REVISTA PESQUISA AGROPECUARIA BRASILEIRA IMPRESSO; RESVISTA CIENCIAS AGROVETERINARIAS IMPRESSO; INTERNATIONAL RESEARCH JOURNAL OF PLANT SCIENCE,REVISTA PESQUISA AGROPECUARIA BRASILEIRA IMPRESSO; RESVISTA CIENCIAS AGROVETERINARIAS IMPRESSO; INTERNATIONAL RESEARCH JOURNAL OF PLANT SCIENCE,0,0
17,426155441725,5.0, , , ,1.0,5.0,CENTRO REFERENCIA TREINAMENTO EM DSTHIVAIDS SAO PAULO; CENTRO UNIVERSITARIO CAPITAL; UNIVERSIDADE ESTADUAL PAULISTA JULIO MESQUITA FILHO; FACULDADE CIENCIAS MEDICAS SANTA CASA SAO PAULO,FACULDADE CIENCIAS MEDICAS SANTA CASA SAO PAULO,0,1
18,440539705609,3.0, , , ,11.0,12.0,HOSPITAL VETERINARIO PRONTODOG; CENTRO ENSINO SUPERIOR MARINGA; COOPERATIVA DOS CAFEICULTORES AGROPEICUARISTAS MARINGA; UNIVERSIDADE ESTADUAL LONDRINA; UNIVERSIDADE ESTADUAL MARINGA; ACTA SCIENTIARUM ANIMAL SCIENCES,CENTRO ENSINO SUPERIOR MARINGA,0,0
19,460388280065,4.0, , , ,1.0,4.0,UNIVERSIDADE FEDERAL JUIZ FORA,UNIVERSIDADE FEDERAL JUIZ FORA,0,1
20,492089268615,4.0, , , ,5.0,4.0,UNIVERSIDADE ESTADUAL MARINGA,UNIVERSIDADE ESTADUAL MARINGA,0,1
21,507838194708,4.0, , , ,24.0,45.0,UNIVERSIDADE BRASILIA; UNIVERSIDADE ESTADUAL CAMPINAS; COORDENACAO APERFEICOAMENTO PESSOAL NIVEL SUPERIOR; FUNDACAO APOIO A PESQUISA DISTRITO FEDERAL; MINISTERIO EDUCACAO; MATEMATISCHE NACHRICHTEN; JOURNAL OF GROUP THEORY; BULL ALLAHABAD MATH SOC; PMSC INDIAN ACADEMY OF SCIENCES,BULL ALLAHABAD MATH SOC; PMSC INDIAN ACADEMY OF SCIENCES,1,1
22,525075420657,5.0, , , ,3.0,7.0,INSTITUTO ESTUDOS MAR ALMIRANTE PAULO MOREIRA; UNIVERSIDADE FEDERAL RURAL RIO JANEIRO; UNIVERSITY OF SOUTH CAROLINA,UNIVERSITY OF SOUTH CAROLINA,1,1
23,528802857269,5.0, , , ,1.0,5.0,UNIVERSIDADE ESTADUAL MARANHAO PROGRAMA DARCY RIBEIRO; UNIVERSIDADE FEDERAL MARANHAO; UNIVERSIDADE BRASILIA,UNIVERSIDADE BRASILIA,0,1
