,IDLattes,DuracaoDoutorado,Genero,GrandesAreas,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,ListaFiliacoes,UltimaFiliacao,HistoricoFiliacoesEmIESInternacional,UltimaFiliacaoEmIES,ListaIESInternacional,PrimeiraArea,PrimeiraAreaNumeric
0,1000020883210065,6.0,0,CIENCIAS BIOLOGICAS,1,9.0,14.0,CENTRO MARS CIENCIA CACAU; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO, ,0,0,,CIENCIAS BIOLOGICAS,0
1,1000077717733917,5.0,0,CIENCIAS EXATAS E DA TERRA; ENGENHARIAS,0,2.0,5.0,RENAULT BRASIL SA; UNIVERSIDADE TECNOLOGICA FEDERAL PARANA; SOCIEDADE EDUCACIONAL POSITIVO; CURSO DOM BOSCO; TECUMSEH PRODUCTS CO; UNIVERSIDADE POSITIVO,UNIVERSIDADE POSITIVO,1,1,BR/US/BR,CIENCIAS EXATAS E DA TERRA,1
2,1000138998094231,4.0,0,CIENCIAS EXATAS E DA TERRA; ENGENHARIAS,1,1.0,7.0,ESCOLA ESTADUAL PROFESSOR JOSE VASQUES FERRARI; ESCOLA ESTADUAL PROFESSORA ZULMIRA OLIVEIRA; UNIVERSIDADE ESTADUAL PAULISTA JULIO MESQUITA FILHO; CENTRO ESTUDOS APERFEICOAMENTO PROFISSIONAL ITAPEVA; ESCOLA ESTADUAL PROFESSOR SILVERIO MONTEIRO; ESCOLA ESTADUAL SIMPLICIANO CAMPOLIM ALMEIDA,ESCOLA ESTADUAL SIMPLICIANO CAMPOLIM ALMEIDA,0,0,BR,CIENCIAS EXATAS E DA TERRA,1
3,1000171750564368,5.0,0,CIENCIAS EXATAS E DA TERRA,1,7.0,13.0,UNIVERSIDADE CANDIDO MENDES; INSTITUTO FEDERAL FLUMINENSE; REVISTA DIGITAL BIBLIOTECONOMIA CIENCIA INFORMACAO; TRANSINFORMACAO; FUNDO MACKENZIE PESQUISA INSTITUTO PRESBITERIANO MACKENZIESP,TRANSINFORMACAO; FUNDO MACKENZIE PESQUISA INSTITUTO PRESBITERIANO MACKENZIESP,0,0,BR,CIENCIAS EXATAS E DA TERRA,1
4,1000193621667374,5.0,1,CIENCIAS AGRARIAS,1,5.0,5.0,EMBRAPA HORTALICAS; UNIVERSITY OF GUELPH; LUTHERAN WORLD FEDERATION FEDERECAO LUTERANA MUNDIAL; UNIVERSIDADE FEDERAL RIO GRANDE SUL; FUNDO NACIONAL MEIO AMBIENTE; MINISTERIO AGRICULTURA PECUARIA ABASTECIMENTO; INSTITUTO INTERAMERICANO COOPERACION PARA LA AGRICULTURA,INSTITUTO INTERAMERICANO COOPERACION PARA LA AGRICULTURA,1,1,CA/BR/CL/CR,CIENCIAS AGRARIAS,2
5,1000271786343378,5.0,0,ENGENHARIAS,0,3.0,9.0,VOLKSWAGEN BRASIL MATRIZ; ZF PASSAU; HUF BRASIL; ASSOCIACAO EDUCACIONAL NOVE JULHO; EXACTA SAO PAULO IMPRESSO; EXACTA ONLINE,ASSOCIACAO EDUCACIONAL NOVE JULHO,1,0,DE/FI/US,ENGENHARIAS,3
6,1000297113793647,3.0,0,CIENCIAS BIOLOGICAS,1,53.0,17.0,FUNDACAO AMPARO A PESQUISA ESTADO SAO PAULO; UNIVERSIDADE CRUZEIRO SUL; JOURNAL OF VEGETATION SCIENCE; OIKOS COPENHAGEN; NEOTROPICAL ENTOMOLOGY; REVISTA BRASILEIRA BOTANICA; JOURNAL OF NATURAL HISTORY; ECOLOGIA AUSTRAL ONLINE; BIOTA NEOTROPICA; UNIVERSIDADE ESTADUAL CAMPINAS; GLOBAL ECOLOGY AND BIOGEOGRAPHY; UNIVERSIDADE BRASILIA; ECOLOGY DURHAM; INSECT CONSERVATION AND DIVERSITY; REVISTA BRASILEIRA ZOOLOGIA ONLINE; APIDOLOGIE CELLE; BIOTROPICA LAWRENCE KS; PLOS ONE; PHYSICA A STATISTICAL MECHANICS AND ITS APPLICATIONS; BIOLOGICAL CONSERVATION; HYDROBIOLOGIA THE HAGUE PRINT; PLANT ECOLOGY DORDRECHT; JOURNAL OF ECOLOGY PRINT; NEOTROPICAL BIOLOGY AND CONSERVATION; JOURNAL OF BIOGEOGRAPHY PRINT; ECOGRAPHY COPENHAGEN; BRAZILIAN JOURNAL OF BIOLOGY; METHODS IN ECOLOGY AND EVOLUTION; BIOTEMAS UFSC; ACTA OECOLOGICA MONTROUGE; UNIVERSIDADE FEDERAL GOIAS; ECOLOGY LETTERS PRINT; REVISTA BRASILEIRA ENTOMOLOGIA IMPRESSO; GLOBAL CHANGE BIOLOGY PRINT; BASIC AND APPLIED ECOLOGY PRINT; ECOLOGICAL MODELLING; LANDSCAPE AND URBAN PLANNING; REVISTA BRASILEIRA BIOCIENCIAS IMPRESSO; OECOLOGIA; OECOLOGIA BRASILIENSIS IMPRESSO; GENETICA DORDRECHT ONLINE; DIVERSITY AND DISTRIBUTIONS PRINT; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; NATUREZA CONSERVACAO BRAZILIAN JOURNAL OF NATURE CONSERVATION; SCIENCE NEW YORK NY; ECOLOGICAL APPLICATIONS; NATURE COMMUNICATIONS; PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES,NATURE COMMUNICATIONS; PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES,1,0,BR/US/BR/BR/GB/DK/US/BR,CIENCIAS BIOLOGICAS,0
7,1000308383977498,4.0,1,CIENCIAS EXATAS E DA TERRA,1,5.0,5.0,UNIVERSIDADE FEDERAL PIAUI; UNIVERSIDADE SAO PAULO,UNIVERSIDADE SAO PAULO,0,1,BR/BR,CIENCIAS EXATAS E DA TERRA,1
8,1000339043725050,1.0,1,CIENCIAS DA SAUDE,0,83.0,31.0,SOCIEDADE ORTODONTIA BAHIA; ASSOCIACAO DOS EX ALUNOS POS GRADUADOS EM ORTODONTIA UNIVERSIDADE FEDERA; CENTRO ESTUDO PESQUISA EM ORTODONTIA BAHIA; UNIVERSIDADE FEDERAL BAHIA; UNIVERSIDADE FEDERAL RIO JANEIRO; SOCIEDADE BRASILEIRA ORTODONTIA; REVISTA BAHIANA ODONTOLOGIA,REVISTA BAHIANA ODONTOLOGIA,0,0,BR/BR,CIENCIAS DA SAUDE,4
9,1000365345909355,4.0,1,CIENCIAS DA SAUDE,0,4.0,5.0,HOSPITAL DAS CLINICAS FACULDADE MEDICINA UNIVERSIDADE SAO PAULO, ,0,0,,CIENCIAS DA SAUDE,4
